,title,text,summary,keywords,url,country,language,domain,name,timestamp
col1,0.112940215,0.021413248,0.36385065,0.0020328467,0.011909049,0.0002623398,0.00028538497,0.0003887855,0.00045152003,0.0002876252
col2,0.12327926,0.93249714,0.71915513,0.013300794,0.0005388791,0.00014341623,0.00026421313,0.00022025974,0.00020596251,0.00012412349
col3,0.5219703,0.27765593,0.98461926,0.048743807,0.00043960218,0.00014356298,0.00026451878,0.00021920934,0.00020656914,0.00012134071
words,0.11007352,0.021355238,0.16402203,0.9824662,0.04108672,0.00016844097,0.00029606657,0.0014234263,0.0002162909,0.0005008538
link,0.001574136,0.00058239506,0.00095153775,0.044374797,0.96109205,9.7880285e-05,0.00011430515,0.24071613,0.0010671079,0.02949125
col6,0.0002019988,0.00020718334,0.00020738866,0.00021078382,0.00015973528,0.20757376,0.004072131,0.024369353,0.002502991,0.0008718712
lang,0.00018116494,0.00028222465,0.0002825793,0.00041365417,0.00013594433,0.0048099915,0.98599523,0.0006792842,0.0005482667,0.00071639783
col8,0.00014267623,0.00025009745,0.00025009745,0.0014317704,0.33630872,0.0055720126,0.0006792842,0.99455935,0.06357021,0.06280584
website,0.00066992233,0.00020718334,0.00020738866,0.00021209463,0.00010446929,0.360928,0.0045705517,0.013816084,0.0009485565,0.00067963934
col10,0.00039025024,0.00013253484,0.00014832438,0.00022952755,0.10781543,0.0006482899,0.0007332898,0.11995265,0.051719703,0.99644035
